timestamp,scene,frames,fps_avg,fps_1pct_low,frame_ms_avg,frame_ms_worst,draw_calls,triangles,objects,physics_ms,process_ms,memory_mb,violations
2026-08-07T22:26:32,res://scenes/world/main.tscn,240,6.16,5.46,162.354,184.615,5,800,5,0.061,167.644,29.5,1
2026-08-07T22:27:19,res://scenes/world/main.tscn,240,5.97,5.35,167.596,187.055,5,800,5,0.059,172.377,29.5,1
2026-08-07T22:30:36,res://scenes/world/main.tscn,240,5.58,2.85,179.250,375.476,5,800,5,0.061,190.879,29.5,1
2026-08-12T21:37:23,res://scenes/world/main.tscn,240,6.01,5.06,166.408,200.550,5,800,5,0.060,172.982,29.5,1
2026-08-13T22:38:39,res://scenes/world/main.tscn,240,6.10,4.30,163.957,234.847,5,800,5,0.056,172.568,29.5,1
2026-08-15T02:54:30,res://scenes/world/main.tscn,240,3.99,2.93,250.613,346.274,10,1268,10,0.745,262.157,31.1,1
2026-08-15T07:04:14,res://scenes/world/main.tscn,240,2.76,1.56,361.800,693.758,216,112344,216,0.627,383.089,55.7,2
2026-08-15T07:09:12,res://scenes/world/main.tscn,240,2.74,1.91,364.987,528.314,141,117416,141,0.598,380.511,54.5,2
2026-08-15T07:12:00,res://scenes/world/main.tscn,240,3.39,2.41,295.166,419.762,90,117416,90,0.611,309.327,54.4,1
2026-08-15T21:24:50,res://scenes/world/main.tscn,240,2.03,1.05,491.591,965.571,151,133816,151,0.720,500.933,56.8,2
2026-08-15T21:29:29,res://scenes/world/main.tscn,240,2.02,1.05,496.258,969.121,151,133816,151,0.682,506.730,56.8,1
